property_id,type,text
1,reason,"Locality 74: demand index 60.4, supply index 22.0, absorption rate 0.56 (as of 2025-12-01)."
1,reason,Location score 45.9/100.
1,reason,Model-predicted valuation is -2.8% vs. asking price.
1,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
2731,reason,"Base-case IRR 17.8%, NPV ₹9,157,773 (5-year hold)."
2731,reason,"Locality 32: demand index 95.2, supply index 54.2, absorption rate 3.33 (as of 2025-12-01)."
2731,reason,Location score 54.7/100.
2731,reason,Model-predicted valuation is +6.0% vs. asking price.
2731,risk,0% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
2731,risk,Top simulated risk driver: appreciation.
2731,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
5053,reason,"Base-case IRR 16.9%, NPV ₹6,096,256 (5-year hold)."
5053,reason,"Locality 85: demand index 98.3, supply index 54.3, absorption rate 6.65 (as of 2025-12-01)."
5053,reason,Location score 65.1/100.
5053,reason,Model-predicted valuation is -9.8% vs. asking price.
5053,risk,0% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
5053,risk,Top simulated risk driver: appreciation.
5053,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
7622,reason,"Base-case IRR 12.5%, NPV ₹1,919,739 (5-year hold)."
7622,reason,"Locality 46: demand index 73.7, supply index 34.8, absorption rate 0.50 (as of 2025-12-01)."
7622,reason,Location score 51.0/100.
7622,reason,Model-predicted valuation is +9.6% vs. asking price.
7622,risk,18% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
7622,risk,Top simulated risk driver: appreciation.
7622,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
5923,reason,"Base-case IRR 2.2%, NPV ₹-4,356,237 (5-year hold)."
5923,reason,"Locality 86: demand index 77.4, supply index 69.5, absorption rate 1.94 (as of 2025-12-01)."
5923,reason,Location score 48.7/100.
5923,reason,Model-predicted valuation is -17.5% vs. asking price.
5923,risk,100% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
5923,risk,Top simulated risk driver: appreciation.
5923,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
5342,reason,"Base-case IRR 16.6%, NPV ₹3,585,862 (5-year hold)."
5342,reason,"Locality 82: demand index 83.3, supply index 51.7, absorption rate 3.40 (as of 2025-12-01)."
5342,reason,Location score 52.4/100.
5342,reason,Model-predicted valuation is +7.0% vs. asking price.
5342,risk,0% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
5342,risk,Top simulated risk driver: appreciation.
5342,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
3559,reason,"Base-case IRR 11.5%, NPV ₹1,061,370 (5-year hold)."
3559,reason,"Locality 17: demand index 98.3, supply index 68.3, absorption rate 5.70 (as of 2025-12-01)."
3559,reason,Location score 62.5/100.
3559,reason,Model-predicted valuation is +0.8% vs. asking price.
3559,risk,28% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
3559,risk,Top simulated risk driver: appreciation.
