query,filters,rank,evidence_id,lexical_score,semantic_score,hybrid_score,rerank_score,source,source_confidence,title
infrastructure connectivity Pune,{'city': 'Pune'},1,ev_1_0,1.5035,0.5795,0.9873,0.8815,Internal Research,0.85,"Infrastructure Update — Shanker Gardens, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},2,ev_72_0,1.5035,0.5826,0.9971,0.8743,Developer Filing,0.55,"Infrastructure Update — Garg Enclave, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},3,ev_3_0,1.5035,0.5795,0.9873,0.869,Market Report,0.8,"Infrastructure Update — Shanker Gardens, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},4,ev_35_0,1.5035,0.5835,1.0,0.8376,News,0.6,"Infrastructure Update — Balay Layout, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},5,ev_2_0,1.5035,0.5795,0.9873,0.8022,Developer Filing,0.55,"Infrastructure Update — Shanker Gardens, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},6,ev_29_0,1.5035,0.5303,0.8315,0.6232,Internal Research,0.85,"Infrastructure Update — Pathak Enclave, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},7,ev_28_0,1.5035,0.5303,0.8315,0.5824,News,0.6,"Infrastructure Update — Pathak Enclave, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},8,ev_73_0,1.5035,0.4953,0.7204,0.3618,Internal Research,0.85,"Infrastructure Update — Kanda Gardens, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},9,ev_75_0,1.5035,0.4953,0.7204,0.338,Developer Filing,0.55,"Infrastructure Update — Kanda Gardens, Pune"
infrastructure connectivity Pune,{'city': 'Pune'},10,ev_102_0,1.5026,0.5064,0.7307,0.322,News,0.6,"Market Outlook — Koshy Layout, Pune"
developer track record,None,1,ev_20_0,1.8387,0.4476,1.0,0.8225,News,0.6,"Developer Report — Tata Hills, Pune"
developer track record,None,2,ev_37_0,1.8387,0.4456,0.9979,0.7884,Internal Research,0.85,"Developer Report — Dugar Layout, Hyderabad"
developer track record,None,3,ev_21_0,1.8387,0.4476,1.0,0.7516,News,0.6,"Developer Report — Tata Hills, Pune"
developer track record,None,4,ev_48_0,1.8387,0.4427,0.9948,0.6978,Developer Filing,0.55,"Developer Report — Balay Hills, Mumbai"
developer track record,None,5,ev_46_0,1.8387,0.4427,0.9948,0.6762,News,0.6,"Developer Report — Balay Hills, Mumbai"
developer track record,None,6,ev_98_0,1.8387,0.4343,0.9862,0.4635,Developer Filing,0.55,"Developer Report — Chander Gardens, Mumbai"
developer track record,None,7,ev_13_0,1.8387,0.4317,0.9835,0.4353,Internal Research,0.85,"Developer Report — Bakshi Layout, Mumbai"
developer track record,None,8,ev_89_0,1.8387,0.4336,0.9854,0.3693,Developer Filing,0.55,"Developer Report — Prakash Gardens, Chennai"
developer track record,None,9,ev_15_0,1.8387,0.4317,0.9835,0.3491,Market Report,0.8,"Developer Report — Bakshi Layout, Mumbai"
developer track record,None,10,ev_116_0,1.8387,0.4282,0.9798,0.2109,Developer Filing,0.55,"Developer Report — Issac Layout, Mumbai"
