document_id,source,document_date,city,locality,topic,text,embedding
1,Internal Research,2025-05-28,Pune,Shanker Gardens,Infrastructure Update,"Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
2,Developer Filing,2025-01-07,Pune,Shanker Gardens,Infrastructure Update,"Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
3,Market Report,2025-05-10,Pune,Shanker Gardens,Infrastructure Update,"Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
4,Developer Filing,2025-04-01,Bengaluru,Bath Colony,Developer Report,"Developer Report for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
5,Developer Filing,2025-05-26,Bengaluru,Bath Colony,Policy/Regulatory Note,"Policy/Regulatory Note for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
6,Internal Research,2025-01-10,Bengaluru,Bath Colony,Investment Memo,"Investment Memo for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
7,Market Report,2024-08-30,Hyderabad,Memon Nagar,Developer Report,"Developer Report for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
8,Market Report,2025-01-08,Hyderabad,Memon Nagar,Market Outlook,"Market Outlook for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
9,Internal Research,2025-08-25,Hyderabad,Memon Nagar,Market Outlook,"Market Outlook for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
10,Developer Filing,2025-04-21,Delhi NCR,Dave Layout,Infrastructure Update,"Infrastructure Update for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
11,Market Report,2025-04-05,Delhi NCR,Dave Layout,Policy/Regulatory Note,"Policy/Regulatory Note for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
12,Internal Research,2025-06-21,Delhi NCR,Dave Layout,Infrastructure Update,"Infrastructure Update for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
13,Internal Research,2026-04-20,Mumbai,Bakshi Layout,Developer Report,"Developer Report for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
14,News,2026-05-13,Mumbai,Bakshi Layout,Market Outlook,"Market Outlook for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
15,Market Report,2024-10-10,Mumbai,Bakshi Layout,Developer Report,"Developer Report for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
16,News,2024-10-26,Bengaluru,Setty Gardens,Policy/Regulatory Note,"Policy/Regulatory Note for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
17,Internal Research,2024-12-22,Bengaluru,Setty Gardens,Market Outlook,"Market Outlook for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
18,Internal Research,2025-11-05,Bengaluru,Setty Gardens,Investment Memo,"Investment Memo for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
19,Developer Filing,2025-12-05,Pune,Tata Hills,Investment Memo,"Investment Memo for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
20,News,2026-01-22,Pune,Tata Hills,Developer Report,"Developer Report for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
21,News,2024-08-22,Pune,Tata Hills,Developer Report,"Developer Report for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",
22,Internal Research,2026-02-17,Delhi NCR,Patil Enclave,Policy/Regulatory Note,"Policy/Regulatory Note for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
23,News,2024-10-10,Delhi NCR,Patil Enclave,Policy/Regulatory Note,"Policy/Regulatory Note for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
24,Internal Research,2025-08-04,Delhi NCR,Patil Enclave,Investment Memo,"Investment Memo for Patil Enclave, Delhi NCR: connectivity score 68.5, infrastructure score 73.9, development score 63.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
25,Market Report,2026-07-21,Mumbai,Dutta Extension,Policy/Regulatory Note,"Policy/Regulatory Note for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
26,Developer Filing,2025-03-30,Mumbai,Dutta Extension,Market Outlook,"Market Outlook for Dutta Extension, Mumbai: connectivity score 59.1, infrastructure score 54.8, development score 51.0. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",
