project_id,developer_id,locality_id,project_name,project_type,launch_date,completion_date,total_units,units_sold,units_available,project_status
1,39,59,Gala Greens,Residential,2025-08-06,2027-11-22,510,312,198,Nearing Completion
2,13,49,Ramakrishnan Towers,Residential,2022-09-19,2025-10-11,77,53,24,Completed
3,10,84,Sha Towers,Residential,2022-02-02,2025-03-18,305,239,66,Completed
4,20,15,Sur Enclave,Residential,2022-03-15,2023-04-10,52,49,3,Nearing Completion
5,23,41,Minhas Meadows,Residential,2021-06-25,2023-03-28,40,33,7,Completed
6,37,54,Bhardwaj Greens,Residential,2021-10-30,2023-04-27,485,347,138,Nearing Completion
7,25,14,Bhat Greens,Residential,2023-10-26,2027-02-18,168,145,23,Under Construction
8,7,36,Bhandari Residency,Residential,2024-09-29,2026-07-26,591,551,40,Completed
9,15,87,Sood Heights,Mixed-Use,2020-11-27,2024-02-21,152,124,28,Completed
10,29,77,Wali Residency,Residential,2023-05-26,2027-04-20,143,104,39,Under Construction
11,26,47,Trivedi Heights,Residential,2021-07-01,2023-11-09,336,317,19,Completed
12,22,32,Grewal Residency,Residential,2021-01-26,2023-07-07,105,77,28,Under Construction
13,40,34,Bir Greens,Residential,2021-01-03,2023-09-06,166,140,26,Completed
14,25,3,Keer Greens,Residential,2024-05-06,2026-04-10,294,235,59,Under Construction
15,39,77,Koshy Residency,Villa Community,2022-11-08,2025-04-16,376,298,78,Nearing Completion
16,17,14,Baral Residency,Residential,2023-10-26,2026-12-27,459,273,186,Nearing Completion
17,5,63,Saini Heights,Mixed-Use,2024-01-15,2025-06-19,319,295,24,Nearing Completion
18,2,24,Virk Residency,Residential,2024-03-31,2025-06-18,339,309,30,Under Construction
19,4,84,Lal Enclave,Residential,2022-05-16,2023-08-10,262,174,88,Nearing Completion
20,15,54,Murthy Towers,Residential,2021-10-03,2022-11-17,415,289,126,Nearing Completion
21,35,70,Randhawa Meadows,Mixed-Use,2021-12-11,2024-09-22,385,246,139,Completed
22,29,23,Mital Towers,Residential,2021-05-08,2024-10-01,230,188,42,Completed
23,14,27,Bora Vista,Residential,2023-02-23,2025-10-20,374,247,127,Completed
24,8,49,Chaudhry Vista,Residential,2020-09-06,2021-12-04,73,69,4,Completed
25,1,7,Kala Greens,Mixed-Use,2021-01-13,2023-11-18,224,221,3,Completed
26,24,19,Deo Heights,Residential,2023-06-01,2025-11-27,351,248,103,Under Construction
27,38,67,Biswas Greens,Residential,2025-10-06,2028-05-22,316,244,72,Under Construction
28,23,30,Pingle Enclave,Villa Community,2025-06-20,2027-03-29,299,235,64,Completed
29,4,62,Sarma Meadows,Residential,2022-03-14,2025-09-25,392,318,74,Nearing Completion
30,13,57,Mittal Greens,Residential,2025-03-20,2027-12-13,285,235,50,Completed
31,6,51,Wadhwa Towers,Residential,2023-12-30,2026-10-14,484,367,117,Completed
32,40,49,Mistry Meadows,Villa Community,2020-09-03,2023-11-14,113,69,44,Under Construction
33,21,7,Chawla Greens,Residential,2025-10-03,2027-06-20,583,534,49,Under Construction
34,17,16,Desai Vista,Residential,2025-10-18,2028-01-04,372,247,125,Completed
35,26,36,Chhabra Meadows,Residential,2022-02-01,2023-07-30,259,201,58,Nearing Completion
