property_id,type,text
1,reason,"Locality 74: demand index 60.4, supply index 22.0, absorption rate 0.56 (as of 2025-12-01)."
1,reason,Location score 45.9/100.
1,reason,Model-predicted valuation is -2.8% vs. asking price.
1,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
1,reason,"Locality 74: demand index 60.4, supply index 22.0, absorption rate 0.56 (as of 2025-12-01)."
1,reason,Location score 45.9/100.
1,reason,Model-predicted valuation is -2.8% vs. asking price.
1,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
2,reason,"Base-case IRR 14.8%, NPV ₹3,524,135 (5-year hold)."
2,reason,"Locality 37: demand index 67.0, supply index 45.9, absorption rate 1.01 (as of 2025-12-01)."
2,reason,Location score 50.2/100.
2,reason,Model-predicted valuation is -10.1% vs. asking price.
2,risk,1% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
2,risk,Top simulated risk driver: appreciation.
2,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
3,reason,"Base-case IRR 15.0%, NPV ₹3,195,446 (5-year hold)."
3,reason,"Locality 21: demand index 99.0, supply index 51.1, absorption rate 6.35 (as of 2025-12-01)."
3,reason,Location score 58.8/100.
3,reason,Model-predicted valuation is +0.4% vs. asking price.
3,risk,1% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
3,risk,Top simulated risk driver: appreciation.
3,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
4,reason,"Base-case IRR 4.8%, NPV ₹-2,383,275 (5-year hold)."
4,reason,"Locality 75: demand index 69.4, supply index 58.3, absorption rate 1.34 (as of 2025-12-01)."
4,reason,Location score 46.9/100.
4,reason,Model-predicted valuation is -5.0% vs. asking price.
4,risk,100% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
4,risk,Top simulated risk driver: appreciation.
4,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
5,reason,"Base-case IRR 1.8%, NPV ₹-2,752,064 (5-year hold)."
5,reason,"Locality 76: demand index 86.2, supply index 72.9, absorption rate 2.12 (as of 2025-12-01)."
5,reason,Location score 54.5/100.
5,reason,Model-predicted valuation is -10.7% vs. asking price.
5,risk,100% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
5,risk,Top simulated risk driver: appreciation.
5,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
6,reason,"Base-case IRR 5.2%, NPV ₹-2,751,976 (5-year hold)."
6,reason,"Locality 33: demand index 61.6, supply index 32.7, absorption rate 0.29 (as of 2025-12-01)."
6,reason,Location score 50.6/100.
6,reason,Model-predicted valuation is +19.2% vs. asking price.
6,risk,99% simulated probability of negative NPV (UNCALIBRATED -- see limitations).
6,risk,Top simulated risk driver: appreciation.
6,risk,Flood/environmental risk data is not available for this locality (not a zero-risk finding -- simply unmeasured).
7,reason,"Base-case IRR 5.8%, NPV ₹-2,009,529 (5-year hold)."
7,reason,"Locality 23: demand index 67.2, supply index 53.0, absorption rate 0.73 (as of 2025-12-01)."
7,reason,Location score 58.5/100.
