document_id,source,title,content,source_type,confidence,as_of,created_at,chunk_id,evidence_id,city,locality,topic
1,Internal Research,"Infrastructure Update — Shanker Gardens, Pune","Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-05-28,2026-09-04T04:21:17+00:00,0,ev_1_0,Pune,Shanker Gardens,Infrastructure Update
2,Developer Filing,"Infrastructure Update — Shanker Gardens, Pune","Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-01-07,2026-09-04T04:21:17+00:00,0,ev_2_0,Pune,Shanker Gardens,Infrastructure Update
3,Market Report,"Infrastructure Update — Shanker Gardens, Pune","Infrastructure Update for Shanker Gardens, Pune: connectivity score 59.9, infrastructure score 68.2, development score 65.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-05-10,2026-09-04T04:21:17+00:00,0,ev_3_0,Pune,Shanker Gardens,Infrastructure Update
4,Developer Filing,"Developer Report — Bath Colony, Bengaluru","Developer Report for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-04-01,2026-09-04T04:21:17+00:00,0,ev_4_0,Bengaluru,Bath Colony,Developer Report
5,Developer Filing,"Policy/Regulatory Note — Bath Colony, Bengaluru","Policy/Regulatory Note for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-05-26,2026-09-04T04:21:17+00:00,0,ev_5_0,Bengaluru,Bath Colony,Policy/Regulatory Note
6,Internal Research,"Investment Memo — Bath Colony, Bengaluru","Investment Memo for Bath Colony, Bengaluru: connectivity score 78.6, infrastructure score 49.1, development score 68.5. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-01-10,2026-09-04T04:21:17+00:00,0,ev_6_0,Bengaluru,Bath Colony,Investment Memo
7,Market Report,"Developer Report — Memon Nagar, Hyderabad","Developer Report for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2024-08-30,2026-09-04T04:21:17+00:00,0,ev_7_0,Hyderabad,Memon Nagar,Developer Report
8,Market Report,"Market Outlook — Memon Nagar, Hyderabad","Market Outlook for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-01-08,2026-09-04T04:21:17+00:00,0,ev_8_0,Hyderabad,Memon Nagar,Market Outlook
9,Internal Research,"Market Outlook — Memon Nagar, Hyderabad","Market Outlook for Memon Nagar, Hyderabad: connectivity score 90.3, infrastructure score 75.9, development score 70.8. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-08-25,2026-09-04T04:21:17+00:00,0,ev_9_0,Hyderabad,Memon Nagar,Market Outlook
10,Developer Filing,"Infrastructure Update — Dave Layout, Delhi NCR","Infrastructure Update for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-04-21,2026-09-04T04:21:17+00:00,0,ev_10_0,Delhi NCR,Dave Layout,Infrastructure Update
11,Market Report,"Policy/Regulatory Note — Dave Layout, Delhi NCR","Policy/Regulatory Note for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2025-04-05,2026-09-04T04:21:17+00:00,0,ev_11_0,Delhi NCR,Dave Layout,Policy/Regulatory Note
12,Internal Research,"Infrastructure Update — Dave Layout, Delhi NCR","Infrastructure Update for Dave Layout, Delhi NCR: connectivity score 68.8, infrastructure score 39.5, development score 55.5. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-06-21,2026-09-04T04:21:17+00:00,0,ev_12_0,Delhi NCR,Dave Layout,Infrastructure Update
13,Internal Research,"Developer Report — Bakshi Layout, Mumbai","Developer Report for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2026-04-20,2026-09-04T04:21:17+00:00,0,ev_13_0,Mumbai,Bakshi Layout,Developer Report
14,News,"Market Outlook — Bakshi Layout, Mumbai","Market Outlook for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-05-13,2026-09-04T04:21:17+00:00,0,ev_14_0,Mumbai,Bakshi Layout,Market Outlook
15,Market Report,"Developer Report — Bakshi Layout, Mumbai","Developer Report for Bakshi Layout, Mumbai: connectivity score 58.6, infrastructure score 46.6, development score 55.3. Analysts note moderate momentum driven by ongoing infrastructure and demand trends in the corridor.",MARKET_REPORT,0.8,2024-10-10,2026-09-04T04:21:17+00:00,0,ev_15_0,Mumbai,Bakshi Layout,Developer Report
16,News,"Policy/Regulatory Note — Setty Gardens, Bengaluru","Policy/Regulatory Note for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2024-10-26,2026-09-04T04:21:17+00:00,0,ev_16_0,Bengaluru,Setty Gardens,Policy/Regulatory Note
17,Internal Research,"Market Outlook — Setty Gardens, Bengaluru","Market Outlook for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2024-12-22,2026-09-04T04:21:17+00:00,0,ev_17_0,Bengaluru,Setty Gardens,Market Outlook
18,Internal Research,"Investment Memo — Setty Gardens, Bengaluru","Investment Memo for Setty Gardens, Bengaluru: connectivity score 80.7, infrastructure score 48.7, development score 68.0. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",INTERNAL_RESEARCH,0.85,2025-11-05,2026-09-04T04:21:17+00:00,0,ev_18_0,Bengaluru,Setty Gardens,Investment Memo
19,Developer Filing,"Investment Memo — Tata Hills, Pune","Investment Memo for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",DEVELOPER_FILING,0.55,2025-12-05,2026-09-04T04:21:17+00:00,0,ev_19_0,Pune,Tata Hills,Investment Memo
20,News,"Developer Report — Tata Hills, Pune","Developer Report for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2026-01-22,2026-09-04T04:21:17+00:00,0,ev_20_0,Pune,Tata Hills,Developer Report
21,News,"Developer Report — Tata Hills, Pune","Developer Report for Tata Hills, Pune: connectivity score 64.7, infrastructure score 54.8, development score 71.4. Analysts note strong momentum driven by ongoing infrastructure and demand trends in the corridor.",NEWS,0.6,2024-08-22,2026-09-04T04:21:17+00:00,0,ev_21_0,Pune,Tata Hills,Developer Report
